"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Gene.ID","Gene.Name"
"ENSMUSG00000000001",1349.87811224766,0.198708680864602,0.212962645420429,0.933068240546657,0.350784735771477,0.866982976430494,"ENSMUSG00000000001","Gnai3"
"ENSMUSG00000000028",13.9878627738358,1.00690973689489,1.08178229356929,0.930787777615253,0.351963353310151,0.867784384674924,"ENSMUSG00000000028","Cdc45"
"ENSMUSG00000000056",158.138456424328,0.0438431392194319,0.305676464883507,0.143429881774315,0.885950684703243,0.989956394632379,"ENSMUSG00000000056","Narf"
"ENSMUSG00000000058",35.4063965134606,1.81837495211932,0.653298062519386,2.78337723076495,0.00537962176463615,0.137198227495779,"ENSMUSG00000000058","Cav2"
"ENSMUSG00000000078",5345.8908690974,0.339352931333058,0.254105935580666,1.33547817589381,0.181719893459594,0.746373869525188,"ENSMUSG00000000078","Klf6"
"ENSMUSG00000000085",50.1696429419375,-0.235142613109054,0.571563635444772,-0.411402333050937,0.680777543458497,0.960525192553709,"ENSMUSG00000000085","Scmh1"
"ENSMUSG00000000088",260.361497377485,0.0881557676459267,0.284229986864887,0.310156463849231,0.756441975883886,0.977364641085176,"ENSMUSG00000000088","Cox5a"
"ENSMUSG00000000093",8.8201195877723,-1.18104362945876,1.32757528107998,-0.889624600797016,0.373667492151871,0.882643781843554,"ENSMUSG00000000093","Tbx2"
"ENSMUSG00000000094",2.47911368424371,2.5426464853239,2.64084378476649,0.962815937841897,0.335639901030976,NA,"ENSMUSG00000000094","Tbx4"
"ENSMUSG00000000125",3.94731638859431,2.47933974964776,2.68443645088218,0.923597855644147,0.355695730715749,NA,"ENSMUSG00000000125","Wnt3"
"ENSMUSG00000000126",3.18886609936406,-0.117096523171871,1.87824369709953,-0.0623436263104179,0.950289187252169,NA,"ENSMUSG00000000126","Wnt9a"
"ENSMUSG00000000127",103.021362755895,0.225168305313903,0.344107669852916,0.654354218289142,0.512883622564247,0.923563483137331,"ENSMUSG00000000127","Fer"
"ENSMUSG00000000131",224.984637147503,-0.0317315890951693,0.271759215227624,-0.11676361763332,0.907047375406387,0.992598556490653,"ENSMUSG00000000131","Xpo6"
"ENSMUSG00000000134",76.9030645059331,-0.686776740565569,0.530905529212168,-1.29359500471714,0.195805348818877,0.760485585736457,"ENSMUSG00000000134","Tfe3"
"ENSMUSG00000000142",20.4003113089492,-0.918391856845778,0.755218515698629,-1.21606109722588,0.223961648636227,0.790819501267707,"ENSMUSG00000000142","Axin2"
"ENSMUSG00000000148",58.9154877137464,1.06350164011934,0.744349927904322,1.42876569238553,0.153071589329185,0.710031941914352,"ENSMUSG00000000148","Brat1"
"ENSMUSG00000000149",45.9659320852656,0.0865814552678272,0.456730907594222,0.189567760421306,0.849647852524358,0.984659097844783,"ENSMUSG00000000149","Gna12"
"ENSMUSG00000000154",360.888645498569,-0.172292783007577,0.305581164999705,-0.563820034548736,0.572876615637508,0.941023963531467,"ENSMUSG00000000154","Slc22a18"
"ENSMUSG00000000157",100.685851230697,-0.648426479296954,0.406363185260664,-1.59568214547048,0.110559776886343,0.634884549530568,"ENSMUSG00000000157","Itgb2l"
"ENSMUSG00000000159",101.642912312928,0.0991081997121983,0.347826310857311,0.284935890755129,0.775693258367748,0.978902051644981,"ENSMUSG00000000159","Igsf5"
"ENSMUSG00000000167",2.54932196609466,-1.70249869813534,2.57513236959412,-0.661130557107507,0.508528590397989,NA,"ENSMUSG00000000167","Pih1d2"
"ENSMUSG00000000168",203.121322883961,-0.109505347964138,0.288337780615787,-0.379781476191824,0.704107633803805,0.96761228981291,"ENSMUSG00000000168","Dlat"
"ENSMUSG00000000171",533.978373302014,-0.369314585974164,0.248375847241175,-1.48691827356127,0.137036397324934,0.685629244689621,"ENSMUSG00000000171","Sdhd"
"ENSMUSG00000000184",505.708214225638,0.290868189341502,0.234588753714612,1.23990679321037,0.215009870961922,0.778895966937432,"ENSMUSG00000000184","Ccnd2"
"ENSMUSG00000000194",365.86719217492,-0.177790940169206,0.218393557222492,-0.814085096787352,0.415596202909998,0.898809480670122,"ENSMUSG00000000194","Gpr107"
"ENSMUSG00000000197",1.60065884577814,-4.15506976641573,3.32771409307222,-1.24862582848266,0.211801960895247,NA,"ENSMUSG00000000197","Nalcn"
"ENSMUSG00000000204",535.123293900045,-0.196577502004551,0.383288126234114,-0.512871358515501,0.608041309606696,0.947909665227538,"ENSMUSG00000000204","Slfn4"
"ENSMUSG00000000223",2.96347108098607,-1.99614769074431,2.13632804312517,-0.934382571613021,0.350106584625982,NA,"ENSMUSG00000000223","Drp2"
"ENSMUSG00000000244",3.55622354632019,-5.26980890399778,2.56450734119919,-2.05490107957092,0.0398885601802783,NA,"ENSMUSG00000000244","Tspan32"
"ENSMUSG00000000247",2.45378677520866,1.4388064933065,2.64474186718853,0.544025302112379,0.586424061508896,NA,"ENSMUSG00000000247","Lhx2"
"ENSMUSG00000000253",8.75178212199008,1.57401209698275,1.13844317639852,1.38260049303661,0.166787397815026,0.724381023664526,"ENSMUSG00000000253","Gmpr"
"ENSMUSG00000000266",285.400623566994,0.0780203694917135,0.286361756771505,0.272453872232554,0.785273054697879,0.980388620275529,"ENSMUSG00000000266","Mid2"
"ENSMUSG00000000275",1418.67031875182,-0.195040288859865,0.187866155115269,-1.03818747309856,0.299182783520405,0.837722069363486,"ENSMUSG00000000275","Trim25"
"ENSMUSG00000000276",73.5463720852434,0.445870434028867,0.433413690021629,1.02874100263565,0.303601396806277,0.839667642851373,"ENSMUSG00000000276","Dgke"
"ENSMUSG00000000278",72.1034572194146,0.428483310566509,0.67945061463983,0.630632015534555,0.528281160324118,0.929699349652283,"ENSMUSG00000000278","Scpep1"
"ENSMUSG00000000282",78.499540774737,0.605909675184897,0.469253598437396,1.29122009336223,0.196627369504721,0.760677981619051,"ENSMUSG00000000282","Mnt"
"ENSMUSG00000000290",21.2705827911775,0.630322856744388,1.00599547472154,0.62656629436515,0.530943568170274,0.930426672958826,"ENSMUSG00000000290","Itgb2"
"ENSMUSG00000000295",10.1490859992168,-0.0487262374330914,1.36997329840211,-0.0355672898807036,0.971627390704301,0.994256175978169,"ENSMUSG00000000295","Hddc2"
"ENSMUSG00000000301",2.84446292564926,0.868163953915092,2.14907505307276,0.403970979363324,0.686234059826098,NA,"ENSMUSG00000000301","Pemt"
"ENSMUSG00000000303",7219.05926372862,0.642253287883499,0.18666068922817,3.44075279341984,0.000580098265901015,0.0303405236002356,"ENSMUSG00000000303","Cdh1"
"ENSMUSG00000000308",1450.56181945405,0.527576262890496,0.203703219573459,2.589925991328,0.00959965676275038,0.187510852771637,"ENSMUSG00000000308","Ckmt1"
"ENSMUSG00000000317",4.80034544079778,0.272923803979592,1.59552258565196,0.17105605801755,0.864179687165656,0.986029102102247,"ENSMUSG00000000317","Bcl6b"
"ENSMUSG00000000320",8.62597399941237,0.724143988324095,1.08592938648822,0.666842611807292,0.504872671038362,0.922396743559192,"ENSMUSG00000000320","Alox12"
"ENSMUSG00000000325",16.9584654807635,1.69427739286184,1.10442930326936,1.53407500855546,0.125011200735203,0.666233386096251,"ENSMUSG00000000325",""
"ENSMUSG00000000326",115.612113194948,-0.192599813603604,0.390221592011686,-0.493565239715992,0.621613254729133,0.947909665227538,"ENSMUSG00000000326","Comt"
"ENSMUSG00000000339",41.8486572660754,-0.771059390985617,0.54813857254516,-1.40668697589621,0.15952022942207,0.716715698622034,"ENSMUSG00000000339","Rtca"
"ENSMUSG00000000340",96.5624104737575,-0.0411426467002372,0.448965212417434,-0.0916388298298356,0.926984999489316,0.9936526729113,"ENSMUSG00000000340","Dbt"
"ENSMUSG00000000346",933.281891349514,0.0578446358117077,0.192369586101519,0.300695328112737,0.76364683163924,0.977789657841989,"ENSMUSG00000000346","Dazap2"
"ENSMUSG00000000355",46.2610048534231,0.206992146680326,0.561543176144254,0.368613056793966,0.712416161989847,0.969433353915928,"ENSMUSG00000000355","Mcts1"
"ENSMUSG00000000365",2.04475458317438,-0.224771276843303,2.44850439419099,-0.0917994173817154,0.926857406970925,NA,"ENSMUSG00000000365","Rnf17"
"ENSMUSG00000000374",538.981962255711,0.0825473812965889,0.202965538344722,0.406706389517161,0.684223647071114,0.962011486263224,"ENSMUSG00000000374","Trappc10"
