"Gene.Name","Gene.ID.x","log2FoldChange","padj","Gene.ID.y","atlas_log2FC","direction_R","direction_ATLAS","match"
"8030462N17Rik","ENSMUSG00000047466",-0.2633182688193,0.913114194037013,"ENSMUSG00000047466",-0.2,"Down","Down",TRUE
"9130008F23Rik","ENSMUSG00000054951",0.167661073984506,0.947909665227538,"ENSMUSG00000054951",0.1,"Up","Up",TRUE
"9130016M20Rik","ENSMUSG00000118366",-0.701937084373967,0.236019412999222,"ENSMUSG00000118366",-0.6,"Down","Down",TRUE
"9130023H24Rik","ENSMUSG00000062944",-0.366226617404812,0.931974140809422,"ENSMUSG00000062944",-0.2,"Down","Down",TRUE
"9130024F11Rik","ENSMUSG00000087022",-1.03364125880957,0.0943059123705701,"ENSMUSG00000087022",-0.9,"Down","Down",TRUE
"9130204K15Rik","ENSMUSG00000086474",-0.452460466695966,0.85860845356785,"ENSMUSG00000086474",-0.3,"Down","Down",TRUE
"9130209A04Rik","ENSMUSG00000117602",-1.23350623797922,0.810585610885082,"ENSMUSG00000117602",-0.6,"Down","Down",TRUE
"9130221F21Rik","ENSMUSG00000108356",-1.87662975627661,0.358545665604284,"ENSMUSG00000108356",-0.9,"Down","Down",TRUE
"9130227L01Rik","ENSMUSG00000099950",-0.641157983135502,0.932759843241681,"ENSMUSG00000099950",-0.4,"Down","Down",TRUE
"9130230L23Rik","ENSMUSG00000054598",0.0809047045624879,0.985198823836541,"ENSMUSG00000054598",0.1,"Up","Up",TRUE
"9330162G02Rik","ENSMUSG00000109536",-0.0694149757671839,0.975019767020469,"ENSMUSG00000109536",-0.1,"Down","Down",TRUE
"9430038I01Rik","ENSMUSG00000040139",0.45219903384707,0.947909665227538,"ENSMUSG00000040139",0.2,"Up","Up",TRUE
"9430091E24Rik","ENSMUSG00000084808",-0.42807155108335,0.940651889095629,"ENSMUSG00000084808",-0.3,"Down","Down",TRUE
"9530068E07Rik","ENSMUSG00000036275",0.202907564263448,0.852740842631206,"ENSMUSG00000036275",0.2,"Up","Up",TRUE
"9530082P21Rik","ENSMUSG00000097006",0.656267400045309,0.789095494847497,"ENSMUSG00000097006",0.5,"Up","Up",TRUE
"9530097N15Rik","ENSMUSG00000106371",-0.450784811703564,0.918328052827987,"ENSMUSG00000106371",-0.3,"Down","Down",TRUE
"9630010A21Rik","ENSMUSG00000103867",-0.771608377360032,0.655750904789395,"ENSMUSG00000103867",-0.5,"Down","Down",TRUE
"9930017N22Rik","ENSMUSG00000115276",0.636313841774916,0.844066974536733,"ENSMUSG00000115276",0.4,"Up","Up",TRUE
"9930021J03Rik","ENSMUSG00000046138",-0.247035428990169,0.837611775214489,"ENSMUSG00000046138",-0.2,"Down","Down",TRUE
"9930104L06Rik","ENSMUSG00000044730",-0.307836333761158,0.958125549089486,"ENSMUSG00000044730",-0.2,"Down","Down",TRUE
"A130010J15Rik","ENSMUSG00000079144",0.576044315047705,0.864724316216321,"ENSMUSG00000079144",0.3,"Up","Up",TRUE
"A130012E19Rik","ENSMUSG00000112822",-0.10199409829421,0.986029102102247,"ENSMUSG00000112822",-0.1,"Down","Down",TRUE
"A130048G24Rik","ENSMUSG00000102642",-0.520271796488903,0.896649505097819,"ENSMUSG00000102642",-0.3,"Down","Down",TRUE
"A130071D04Rik","ENSMUSG00000104291",-1.69006543734522,0.413661296092974,"ENSMUSG00000104291",-0.9,"Down","Down",TRUE
"A1cf","ENSMUSG00000052595",-0.51798528099905,0.222859448653824,"ENSMUSG00000052595",-0.5,"Down","Down",TRUE
"A330023F24Rik","ENSMUSG00000096929",-0.523815422447119,0.707537803946402,"ENSMUSG00000096929",-0.5,"Down","Down",TRUE
"A330035P11Rik","ENSMUSG00000085615",-1.37288014513618,0.401168560649602,"ENSMUSG00000085615",-0.9,"Down","Down",TRUE
"A430005L14Rik","ENSMUSG00000047613",0.739586735968893,0.888073296435024,"ENSMUSG00000047613",0.4,"Up","Up",TRUE
"A430019L02Rik","ENSMUSG00000117429",-0.329453963554224,0.950916624723889,"ENSMUSG00000117429",-0.3,"Down","Down",TRUE
"A430033K04Rik","ENSMUSG00000056014",-0.641336280763703,0.882758103847736,"ENSMUSG00000056014",-0.4,"Down","Down",TRUE
"A430088P11Rik","ENSMUSG00000116220",-0.665964775319695,0.797373630816645,"ENSMUSG00000116220",-0.5,"Down","Down",TRUE
"A430110C17Rik","ENSMUSG00000102415",0.590378993657897,0.860795803078965,"ENSMUSG00000102415",0.4,"Up","Up",TRUE
"A4gnt","ENSMUSG00000037953",0.252887812615375,0.973257305266465,"ENSMUSG00000037953",0.1,"Up","Up",TRUE
"A530041M06Rik","ENSMUSG00000104973",-0.45235158317048,0.925878536768054,"ENSMUSG00000104973",-0.2,"Down","Down",TRUE
"A730017L22Rik","ENSMUSG00000085566",0.165638055969425,0.980388620275529,"ENSMUSG00000085566",0.1,"Up","Up",TRUE
"A730091E23Rik","ENSMUSG00000113965",-1.51023515857977,0.574609150247397,"ENSMUSG00000113965",-0.9,"Down","Down",TRUE
"A930001M01Rik","ENSMUSG00000115918",-0.362154117854843,0.900982590420034,"ENSMUSG00000115918",-0.3,"Down","Down",TRUE
"A930004J17Rik","ENSMUSG00000102602",0.192496492606421,0.957838904891184,"ENSMUSG00000102602",0.1,"Up","Up",TRUE
"A930006L05Rik","ENSMUSG00000102097",1.13305161804484,0.837722069363486,"ENSMUSG00000102097",0.4,"Up","Up",TRUE
"A930037H05Rik","ENSMUSG00000109408",-1.05643761807388,0.555466602706587,"ENSMUSG00000109408",-0.8,"Down","Down",TRUE
"AA467197","ENSMUSG00000033213",0.57402598114833,0.394155596839192,"ENSMUSG00000033213",0.6,"Up","Up",TRUE
"AA986860","ENSMUSG00000042510",0.580081979354277,0.474896441426693,"ENSMUSG00000042510",0.5,"Up","Up",TRUE
"Aacs","ENSMUSG00000029482",0.459172579758632,0.546140447542738,"ENSMUSG00000029482",0.4,"Up","Up",TRUE
"Aadac","ENSMUSG00000027761",0.0130583138641368,0.995732249886491,"ENSMUSG00000027761",-0.1,"Up","Down",FALSE
"Aak1","ENSMUSG00000057230",0.0678419713363722,0.971618534563176,"ENSMUSG00000057230",0.1,"Up","Up",TRUE
"Aamdc","ENSMUSG00000035642",-0.58658030056582,0.778523929795396,"ENSMUSG00000035642",-0.5,"Down","Down",TRUE
"Aamp","ENSMUSG00000006299",-0.117783862876516,0.977789657841989,"ENSMUSG00000006299",-0.1,"Down","Down",TRUE
"Aar2","ENSMUSG00000027628",-0.191825386824861,0.971053916370355,"ENSMUSG00000027628",-0.2,"Down","Down",TRUE
"Aars","ENSMUSG00000031960",0.205068035151294,0.91770894608593,"ENSMUSG00000031960",0.2,"Up","Up",TRUE
"Aars2","ENSMUSG00000023938",-0.281070548746117,0.953490107225047,"ENSMUSG00000023938",-0.2,"Down","Down",TRUE
